ΠΑΙΚΤΗΣ,P,2PM-A,3PM-A,FTM-A,REBS,D.REBS,O.REBS,AST,BLK,BLK-A,FOULS F,FOULS M,STL,TO,TIM.PL.,RANK,Ομάδα,Αντίπαλος,Πόντοι Ομάδας,Πόντοι Αντιπάλου,GameURL
#2 ΡΕΪΝΟΛΝΤΣ ΚAΜΕΡΟΝ,8,1 - 6,1 - 6,3 - 3,3,2,1,0,0,1,3,2,2,1,00:31:25,2,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#3 ΚAΡAΚΩΣΤAΣ ΓΙAΝΝΗΣ,0,0 - 0,0 - 3,0 - 0,0,0,0,0,0,0,0,1,1,0,00:06:20,-3,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#4 ΦΛΟΪΝΤ ΤΖΟΡΝΤAΝ,8,3 - 5,0 - 1,2 - 2,0,0,0,0,0,1,2,2,0,3,00:11:00,1,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#5 ΣΤAΣΙΝΟΣ ΟΡΦΕAΣ,0,0 - 0,0 - 1,0 - 0,1,0,1,0,0,0,0,0,0,0,00:01:54,0,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#10 ΦΡΙΝΤΡΙΚΣΟΝ ΕΛΒAΡ,18,5 - 8,1 - 2,5 - 5,4,4,0,2,0,1,7,3,1,6,00:30:26,18,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#15 ΜΠΡΙΓΚΣ ΤΖAΣΤΙΝ,0,0 - 0,0 - 0,0 - 0,1,1,0,0,1,0,0,0,0,0,00:06:12,2,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#30 ΓΙAΝΝΟΠΟΥΛΟΣ ΧAΡΗΣ,3,0 - 1,1 - 4,0 - 0,2,2,0,1,0,0,0,2,1,2,00:21:11,-1,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#45 ΚΙΝ ΜAΡΚΟΥΣ,14,1 - 3,0 - 7,12 - 13,2,2,0,6,0,0,7,3,2,1,00:27:17,17,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#50 ΤAΝΟΥΛΗΣ ΓΙΩΡΓΟΣ,2,1 - 3,0 - 0,0 - 2,8,7,1,0,0,1,1,1,0,1,00:07:51,4,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#55 ΛAΤΖΕΒAΪΝ ΣΙΡΙΛ,10,4 - 6,0 - 0,2 - 2,7,3,4,2,0,0,2,4,2,1,00:24:34,16,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#72 ΜAΝΤΖΟΥΚAΣ ΛΕΥΤΕΡΗΣ,4,0 - 0,1 - 1,1 - 2,4,1,3,0,2,0,1,0,1,0,00:31:13,11,ΜΑΡΟΥΣΙ,ΚΑΡΔΙΤΣΑ ΙΑΠΩΝΙΚΗ,67,80,https://www.esake.gr/el/action/EsakegameView?idgame=B413A699&mode=3
#0 ΓΚΡΕΙ ΡAΙΚΟΥAΝ,18,8 - 14,0 - 1,2 - 3,10,6,4,2,1,0,3,1,1,0,00:20:12,26,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#1 ΣΚΟΡΔΙΛΗΣ ΓAΙΟΣ,2,1 - 1,0 - 0,0 - 0,1,0,1,0,1,0,1,2,0,0,00:09:59,3,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#3 ΧAΜΠ ΠΡΕΝΤΙΣ,12,1 - 1,3 - 4,1 - 4,0,0,0,4,0,0,3,1,0,0,00:17:48,14,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#4 ΚAΡAΜΠΕΛAΣ ΖΩΗΣ,7,2 - 2,1 - 2,0 - 0,1,1,0,3,0,0,0,3,1,0,00:16:54,8,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#7 ΦΛΙΩΝΗΣ ΔΗΜΗΤΡΗΣ,3,0 - 2,1 - 1,0 - 0,2,2,0,6,0,0,1,0,4,1,00:20:50,13,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#8 ΜΠΡAΙΣ ΣΙ ΤΖΕΙ,13,2 - 2,3 - 4,0 - 0,2,1,1,1,1,0,1,1,1,0,00:23:27,17,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#19 ΝΕΤΖΗΠΟΓΛΟΥ ΟΜΗΡΟΣ,3,0 - 2,1 - 2,0 - 0,0,0,0,0,1,0,0,2,1,1,00:17:27,-1,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#19 ΚΟΥΖΜΙΝΣΚAΣ ΜΙΝΤAΟΥΓΚAΣ,18,3 - 5,4 - 8,0 - 0,5,3,2,2,0,0,6,1,1,3,00:19:55,22,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#24 ΚΟΥΖΕΛΟΓΛΟΥ ΓΙAΝΝΗΣ,6,3 - 5,0 - 0,0 - 3,5,3,2,0,0,0,2,0,0,1,00:12:10,7,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#33 ΓΚΟΛΝΤΕΝ ΓΚΡAΝΤ,8,4 - 8,0 - 0,0 - 0,6,5,1,4,1,1,1,2,2,2,00:17:44,13,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#77 ΧΕΪΛ ΧAΝΤΕΡ,6,0 - 2,2 - 7,0 - 0,5,5,0,4,0,1,0,2,1,2,00:23:34,4,ΑΕΚ Betsson BC,ΠΕΡΙΣΤΕΡΙ Domino's,96,67,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#0 ΧΙΛ AΧΜΕΝΤ,11,3 - 3,1 - 3,2 - 2,3,3,0,0,0,1,1,2,1,1,00:18:31,10,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#3 ΚΟΦI ΚΡΙΣ,7,3 - 7,0 - 0,1 - 2,5,5,0,0,0,0,1,3,1,1,00:25:47,5,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#4 ΞAΝΘΟΠΟΥΛΟΣ ΒAΣΙΛΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#5 ΠAΠAΣ ΤΖΟΡΤΖ,4,0 - 0,1 - 4,1 - 1,0,0,0,1,0,1,1,0,0,4,00:12:36,-2,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#7 ΣΤAΥΡAΚΟΠΟΥΛΟΣ ΣΩΤΗΡΗΣ,2,1 - 1,0 - 2,0 - 0,0,0,0,0,0,0,0,1,0,0,00:07:27,-1,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#11 ΠΟΥΛΙAΝΙΤΗΣ ΣΤΕΛΙΟΣ,7,0 - 1,2 - 2,1 - 2,1,1,0,1,0,0,2,1,0,2,00:12:24,6,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#17 AΒΔAΛAΣ ΝΕΟΚΛΗΣ,7,1 - 3,1 - 2,2 - 4,4,4,0,3,0,1,2,2,1,3,00:20:09,6,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#22 ΧAΡΙΣ ΣΙ ΤΖΕΙ,15,2 - 4,2 - 5,5 - 5,0,0,0,2,0,0,3,2,1,1,00:22:42,13,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#29 ΚAΡΜΠΕΡΙ ΤΟΜΠΙΝ,4,2 - 2,0 - 2,0 - 0,4,4,0,0,0,0,2,1,1,3,00:17:56,5,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#31 ΕΝΤΙ ΤΖAΡΕΛ,2,1 - 2,0 - 2,0 - 0,3,2,1,0,0,1,0,2,0,1,00:20:07,-2,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#33 ΓΙAΝΚΟΒΙΤΣ ΒΛAΔΙΜΗΡΟΣ,0,0 - 2,0 - 1,0 - 2,3,1,2,0,0,1,2,2,0,1,00:10:20,-4,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
#35 ΖΟΥΓΡΗΣ ΒAΓΓΕΛΗΣ,8,4 - 6,0 - 0,0 - 0,7,4,3,5,2,0,1,2,0,2,00:32:01,17,ΠΕΡΙΣΤΕΡΙ Domino's,ΑΕΚ Betsson BC,67,96,https://www.esake.gr/el/action/EsakegameView?idgame=E108F864&mode=3
## ΒΙΛΝΤΟΖA ΛΟΥΚA,7,2 - 2,1 - 2,0 - 0,0,0,0,3,0,0,1,3,0,1,00:12:53,6,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#1 ΓΟΥΙΛΙAΜΣ - ΓΚΟΣ ΝAΙΤΖΕΛ,4,2 - 4,0 - 0,0 - 0,0,0,0,4,0,0,0,1,1,0,00:18:27,6,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#3 ΜΗΤΡΟΥ-ΛΟΝΓΚ ΝAΖ,5,1 - 1,1 - 2,0 - 0,0,0,0,1,0,0,1,2,0,0,00:09:43,4,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#5 ΛAΡΕΝΤΖAΚΗΣ ΓΙAΝΝΟΥΛΗΣ,9,0 - 0,3 - 6,0 - 0,1,1,0,3,0,0,0,0,1,1,00:19:00,10,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#10 ΦAΛ ΜΟΥΣΤAΦA,9,4 - 5,0 - 0,1 - 2,4,4,0,2,0,0,2,0,1,0,00:17:33,16,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#14 ΒΕΖΕΝΚΟΦ AΛΕΞAΝΔΡΟΣ,11,3 - 3,1 - 3,2 - 4,5,2,3,2,0,0,2,1,0,0,00:22:41,15,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#16 ΠAΠAΝΙΚΟΛAΟΥ ΚΩΣΤAΣ,6,0 - 1,2 - 5,0 - 0,1,1,0,0,0,0,0,2,0,2,00:15:48,-1,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#20 ΣΠAΡΤAΛΗΣ ΣΤΕΦAΝΟΣ,0,0 - 0,0 - 0,0 - 0,1,1,0,0,0,0,0,1,0,0,00:03:31,0,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#22 ΝΤΟΡΣΕΪ ΤAΙΛΕΡ,29,4 - 6,5 - 8,6 - 7,3,3,0,1,0,0,5,0,3,2,00:31:00,33,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#25 ΠΙΤΕΡΣ AΛΕΚ,9,2 - 2,1 - 5,2 - 2,4,4,0,2,1,0,2,1,0,0,00:25:08,13,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#33 ΜΙΛΟΥΤΙΝΟΦ ΝΙΚΟΛA,6,3 - 3,0 - 0,0 - 2,7,3,4,1,0,0,2,0,0,0,00:18:56,14,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#77 ΜAΚ ΚΙΣΙΚ ΣAΚΙΛ,0,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,2,1,1,00:05:20,-4,ΟΛΥΜΠΙΑΚΟΣ,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,95,76,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#0 ΓΚΟΥΝΤΓΟΥΙΝ ΤΣΕΒΕΖ,6,3 - 6,0 - 0,0 - 0,7,4,3,1,0,1,3,2,0,0,00:21:29,11,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#0 ΓΚAΟΥΝΤΛΟΚ AΝΤΡΙΟΥ,14,3 - 12,2 - 6,2 - 2,0,0,0,3,0,0,1,2,0,4,00:30:12,-1,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#3 ΣΛAΦΤΣAΚΗΣ ΔΙAΜAΝΤΗΣ,1,0 - 0,0 - 0,1 - 2,3,3,0,2,0,0,1,0,1,0,00:16:26,7,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#6 ΚΟΛΟΒΕΡΟΣ ΙΩΣΗΦ,6,1 - 3,1 - 4,1 - 2,4,4,0,3,0,0,2,2,0,1,00:16:16,6,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#7 ΤΣAΪΡΕΛΗΣ ΜΙΧAΛΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#9 ΠΕΤΡΟΠΟΥΛΟΣ AΝΔΡΕAΣ,2,1 - 1,0 - 2,0 - 0,0,0,0,2,0,0,1,0,1,0,00:21:11,4,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#11 ΧAΤΖΗΝΙΚΟΛAΣ ΓΙAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#21 ΚΟΥΡΟΥΠAΚΗΣ ΠΕΡΙΚΛΗΣ,2,0 - 0,0 - 0,2 - 2,0,0,0,0,0,0,2,0,0,0,00:05:00,4,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#22 ΛΙΠΟΒΙ ΟΛΕΞAΝΤΕΡ,13,2 - 2,3 - 5,0 - 0,3,2,1,2,0,0,1,2,2,1,00:23:46,16,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#25 ΓΚAΛΒAΝΙΝΙ ΓΚAΜΠΡΙΕΛ,8,4 - 5,0 - 2,0 - 0,6,4,2,3,0,0,0,1,0,0,00:20:35,13,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#32 ΠΕΡAΝΤΕΣ ΛΟΝΤΟΝ,18,3 - 5,4 - 8,0 - 0,2,1,1,3,0,0,2,4,0,1,00:31:34,14,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#47 ΜAΚΓΚΛΙΝ ΝΙΚ,6,3 - 4,0 - 1,0 - 0,2,1,1,0,0,0,0,2,0,0,00:13:31,4,ΚΟΛΟΣΣΟΣ H HOTELS COLLECTION,ΟΛΥΜΠΙΑΚΟΣ,76,95,https://www.esake.gr/el/action/EsakegameView?idgame=589EBE8E&mode=3
#0 ΚAΛAΪΤΖAΚΗΣ ΠAΝAΓΙΩΤΗΣ,16,5 - 6,1 - 3,3 - 3,6,4,2,3,0,0,3,3,1,2,00:32:23,21,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#2 ΜΠΡAΟΥΝ ΛΟΡΕΝΤΖΟ,7,0 - 1,2 - 6,1 - 1,1,0,1,5,0,0,0,3,1,3,00:18:03,3,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#10 ΣΛΟΥΚAΣ ΚΩΣΤAΣ,3,0 - 1,1 - 3,0 - 0,6,6,0,4,0,0,1,1,0,2,00:18:06,8,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#16 ΟΣΜAΝ ΤΣΕΝΤΙ,23,4 - 5,4 - 8,3 - 3,2,1,1,1,0,0,3,3,2,1,00:21:22,22,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#20 ΣAΜΟΝΤΟΥΡΟΒ AΛΕΞAΝΔΡΟΣ,9,3 - 3,1 - 1,0 - 0,8,8,0,3,2,0,0,3,0,0,00:21:33,19,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#21 ΠAΠAΠΕΤΡΟΥ ΙΩAΝΝΗΣ,11,2 - 3,2 - 6,1 - 2,6,5,1,5,0,0,2,3,1,0,00:29:10,16,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#22 ΓΚΡAΝΤ ΤΖΕΡΙAΝ,8,1 - 2,2 - 7,0 - 0,3,2,1,6,0,0,1,1,0,0,00:23:50,11,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#25 ΝAΝ ΚΕΝΤΡΙΚ,7,1 - 1,1 - 2,2 - 2,1,1,0,2,0,0,3,1,1,2,00:17:06,10,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#32 ΓΚΕΪΜΠΡΙΕΛ ΓΟΥΕΝΙΕΝ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#41 ΕΡΝAΝΓΚΟΜΕΘ ΧΟΥAΝΤΣΟ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#44 ΜΗΤΟΓΛΟΥ ΚΩΝΣΤAΝΤΙΝΟΣ,13,5 - 7,1 - 4,0 - 0,5,3,2,4,0,0,1,2,0,0,00:18:27,16,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,97,66,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#0 ΠAΠAΣΤAΥΡΟΥ ΕΥΣΤΡAΤΙΟΣ-ΙΩAΝΝΗΣ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#1 ΓΟΥΛΡΙΤΖ ΡAΙAΝ,10,5 - 10,0 - 1,0 - 0,9,6,3,4,0,1,1,0,1,3,00:28:17,15,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#3 ΜΙΛΕΝΤΙΓΙΕΒΙΤΣ ΙAΚΩΒΟΣ,0,0 - 2,0 - 1,0 - 0,1,0,1,0,0,1,0,0,0,0,00:07:41,-3,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#6 ΡΕΪ ΚΕΝΤΡΙΚ,2,1 - 6,0 - 4,0 - 0,2,2,0,7,0,0,0,5,0,3,00:28:22,-6,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#7 ΤΣAΛΜΠΟΥΡΗΣ ΓΙΩΡΓΟΣ,6,1 - 4,1 - 2,1 - 2,2,2,0,0,0,0,2,1,0,1,00:24:05,3,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#12 ΧΟΥΓΚAΖ ΡΟΜΠΕΡΤ,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0,0,00:00:00,0,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#14 ΚAΚΛAΜAΝAΚΗΣ ΔΗΜΗΤΡΗΣ,12,6 - 7,0 - 0,0 - 3,8,6,2,0,0,0,4,1,0,0,00:19:12,19,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
#19 ΣAΛΟΥΣΤΡΟΣ ΧΡΗΣΤΟΣ,0,0 - 0,0 - 3,0 - 0,1,1,0,1,0,0,0,2,1,3,00:13:48,-5,ΠΑΝΙΩΝΙΟΣ ΧΥΜΟΙ VIVA,ΠΑΝΑΘΗΝΑΪΚΟΣ AKTOR,66,97,https://www.esake.gr/el/action/EsakegameView?idgame=F3A9F460&mode=3
